Timestamp,PM2.5_Ref,PM2.5_LCS,RH,Temp
19/12/20 21:00,71.3575,257.4036667,62.46666667,11.42592593
21/01/21 1:00,85.2175,236.5766667,75.0,11.27777778
03/01/21 16:00,25.85,79.029,51.26666667,23.48148148
16/01/21 0:00,95.1175,290.0463333,76.53333333,11.38888889
14/06/21 7:00,11.4,36.28689655,54.68965517,33.50574713
14/12/20 16:00,42.06,115.5873333,71.4,15.35185185
22/06/21 3:00,28.425,57.102,62.53333333,29.64814815
19/06/21 0:00,18.295,17.748,61.86666667,30.55555556
29/09/21 0:00,6.4475,10.38433333,62.96666667,29.94444444
31/05/21 4:00,30.035,45.97866667,61.2,31.18518518
21/06/21 20:00,15.1425,49.261,52.4,33.90740741
06/07/21 10:00,88.28,42.97964286,40.75,38.80952381
12/04/21 16:00,31.845,18.13033333,14.23333333,36.2037037
03/11/21 14:00,31.515,46.23233333,24.73333333,35.07407408
30/03/21 13:00,43.49666667,37.215,12.86666667,41.66666667
21/02/21 15:00,71.39,131.9713333,47.16666667,26.7962963
03/01/22 17:00,59.4125,229.234,59.13333333,19.7037037
28/01/21 19:00,79.225,433.37,75.1,12.46296296
14/10/20 17:00,59.09,67.484,34.9,32.57407407
27/06/21 9:00,27.745,60.46166667,48.23333333,37.22222222
22/03/21 16:00,3.9775,20.55566667,26.23333333,33.11111111
01/12/20 3:00,78.3575,183.9873333,74.83333333,13.05555556
18/10/20 21:00,69.4025,87.611,49.7,23.42592592
13/11/21 3:00,49.7125,83.90066667,83.6,15.0
18/07/21 20:00,26.145,47.675,71.33333333,31.64814815
18/03/21 9:00,25.445,82.81066667,24.8,34.5
04/11/21 22:00,249.3925,346.8956667,76.2,18.72222222
27/01/21 13:00,51.92,96.86433333,37.63333333,24.48148148
08/10/21 19:00,46.38,100.1583333,70.73333333,30.66666667
22/12/20 20:00,87.6475,305.832,71.53333333,12.77777778
06/11/21 1:00,36.4775,100.4913333,74.13333333,17.07407407
09/11/20 3:00,59.93666667,126.7096667,66.06666667,15.40740741
31/03/21 4:00,28.37,45.717,47.3,20.42592593
17/12/20 3:00,31.865,131.0606667,77.2,7.925925926
18/12/21 9:00,48.335,240.517931,92.93103448,9.310344828
29/04/21 11:00,69.8675,43.98666667,12.46666667,44.57407408
29/06/21 15:00,74.56,36.45192308,30.73076923,41.64529915
